红富士苹果,,20.00,1.60,6.01,无锡锡澄果品批发交易市场,2020-2-18
阿克苏苹果,新疆|普通|公斤,7.50,7.50,7.50,河南万邦国际农产品物流股份,2020-2-18
丑橘,四川|普通|公斤,6.00,4.00,5.00,河南万邦国际农产品物流股份,2020-2-18
苹果,,7.20,5.00,6.00,辽宁省朝阳果菜批发市场,2020-2-18
黄元帅苹果,甘肃/箱装,7.10,6.10,6.60,浙江金华农产品批发市场,2020-2-10
青苹果,,16.00,14.00,15.00,山西省太原市河西农副产品市场,2020-2-10
阿克苏苹果,新疆|普通|公斤,9.00,9.00,9.00,河南万邦国际农产品物流股份,2020-2-10
红富士苹果,,40.00,1.60,6.05,无锡锡澄果品批发交易市场,2020-1-19
红玫瑰苹果,,46.00,8.57,26.42,无锡锡澄果品批发交易市场,2020-1-19
红蛇果,,10.00,3.44,6.36,无锡锡澄果品批发交易市场,2020-1-19
金帅苹果,,8.50,4.64,6.70,无锡锡澄果品批发交易市场,2020-1-19
阿克苏苹果,新疆|普通|公斤,8.40,5.00,6.70,河南万邦国际农产品物流股份,2020-1-19
阿克苏苹果,新疆|普通|公斤,8.40,5.00,6.70,河南万邦国际农产品物流股份,2020-1-19
富士苹果,山东、河北、陕西,12.00,5.00,7.00,济南堤口果品批发市场,2020-1-19
富士苹果,山东、河北、陕西,20.00,10.00,12.00,济南堤口果品批发市场,2020-1-6
阿克苏苹果,新疆|普通|公斤,8.40,5.00,6.70,河南万邦国际农产品物流股份,2020-1-6
红富士苹果,,20.00,1.60,6.01,无锡锡澄果品批发交易市场,2020-2-18
阿克苏苹果,新疆|普通|公斤,7.50,7.50,7.50,河南万邦国际农产品物流股份,2020-2-18
丑橘,四川|普通|公斤,6.00,4.00,5.00,河南万邦国际农产品物流股份,2020-2-18
苹果,,7.20,5.00,6.00,辽宁省朝阳果菜批发市场,2020-2-18
黄元帅苹果,甘肃/箱装,7.10,6.10,6.60,浙江金华农产品批发市场,2020-2-10
青苹果,,16.00,14.00,15.00,山西省太原市河西农副产品市场,2020-2-10
阿克苏苹果,新疆|普通|公斤,9.00,9.00,9.00,河南万邦国际农产品物流股份,2020-2-10
红富士苹果,,40.00,1.60,6.05,无锡锡澄果品批发交易市场,2020-1-19
红玫瑰苹果,,46.00,8.57,26.42,无锡锡澄果品批发交易市场,2020-1-19
红蛇果,,10.00,3.44,6.36,无锡锡澄果品批发交易市场,2020-1-19
金帅苹果,,8.50,4.64,6.70,无锡锡澄果品批发交易市场,2020-1-19
阿克苏苹果,新疆|普通|公斤,8.40,5.00,6.70,河南万邦国际农产品物流股份,2020-1-19
阿克苏苹果,新疆|普通|公斤,8.40,5.00,6.70,河南万邦国际农产品物流股份,2020-1-19
富士苹果,山东、河北、陕西,12.00,5.00,7.00,济南堤口果品批发市场,2020-1-19
富士苹果,山东、河北、陕西,20.00,10.00,12.00,济南堤口果品批发市场,2020-1-6
阿克苏苹果,新疆|普通|公斤,8.40,5.00,6.70,河南万邦国际农产品物流股份,2020-1-6
红富士苹果,,20.00,1.60,6.01,无锡锡澄果品批发交易市场,2020-2-18
阿克苏苹果,新疆|普通|公斤,7.50,7.50,7.50,河南万邦国际农产品物流股份,2020-2-18
丑橘,四川|普通|公斤,6.00,4.00,5.00,河南万邦国际农产品物流股份,2020-2-18
苹果,,7.20,5.00,6.00,辽宁省朝阳果菜批发市场,2020-2-18
黄元帅苹果,甘肃/箱装,7.10,6.10,6.60,浙江金华农产品批发市场,2020-2-10
青苹果,,16.00,14.00,15.00,山西省太原市河西农副产品市场,2020-2-10
阿克苏苹果,新疆|普通|公斤,9.00,9.00,9.00,河南万邦国际农产品物流股份,2020-2-10
红富士苹果,,40.00,1.60,6.05,无锡锡澄果品批发交易市场,2020-1-19
红玫瑰苹果,,46.00,8.57,26.42,无锡锡澄果品批发交易市场,2020-1-19
红蛇果,,10.00,3.44,6.36,无锡锡澄果品批发交易市场,2020-1-19
