12,10,毛桃,3.82,元/斤,跌
12,11,毛桃,3.9,元/斤,涨
12,12,毛桃,4.14,元/斤,涨
12,13,毛桃,3.86,元/斤,跌
12,16,毛桃,3.7,元/斤,跌
12,17,毛桃,3.74,元/斤,涨
12,18,毛桃,3.7,元/斤,跌
12,19,毛桃,3.79,元/斤,涨
12,20,毛桃,3.81,元/斤,涨
12,23,毛桃,3.55,元/斤,跌
12,24,毛桃,4.02,元/斤,涨
12,25,毛桃,4.2,元/斤,涨
12,26,毛桃,3.95,元/斤,跌
12,27,毛桃,3.89,元/斤,跌
12,30,毛桃,3.7,元/斤,跌
12,31,毛桃,3.7,元/斤,平
09,23,毛桃,2.54,元/斤,涨
09,24,毛桃,2.56,元/斤,涨
09,25,毛桃,2.85,元/斤,涨
09,26,毛桃,2.94,元/斤,涨
09,27,毛桃,2.97,元/斤,涨
09,29,毛桃,2.67,元/斤,跌
09,30,毛桃,2.47,元/斤,跌
10,01,毛桃,2.43,元/斤,跌
10,02,毛桃,2.26,元/斤,跌
10,03,毛桃,2.53,元/斤,涨
10,04,毛桃,2.26,元/斤,跌
10,05,毛桃,2.25,元/斤,跌
10,06,毛桃,2.41,元/斤,涨
10,07,毛桃,2.46,元/斤,涨
10,08,毛桃,2.35,元/斤,跌
06,26,毛桃,1.78,元/斤,跌
06,27,毛桃,1.76,元/斤,跌
07,01,毛桃,1.78,元/斤,涨
07,02,毛桃,1.78,元/斤,平
07,03,毛桃,1.78,元/斤,平
07,04,毛桃,1.78,元/斤,平
07,05,毛桃,1.78,元/斤,平
07,08,毛桃,1.78,元/斤,平
07,09,毛桃,4.16,元/斤,涨
03,28,毛桃,5.34,元/斤,涨
03,29,毛桃,4.69,元/斤,跌
04,01,毛桃,5.45,元/斤,涨
04,02,毛桃,5.38,元/斤,涨
04,03,毛桃,4.87,元/斤,跌
01,02,毛桃,4.59,元/斤,涨
01,03,毛桃,4.33,元/斤,涨
01,04,毛桃,4.25,元/斤,跌
01,07,毛桃,4.24,元/斤,涨
01,08,毛桃,4.86,元/斤,涨
01,09,毛桃,4.76,元/斤,涨
01,10,毛桃,4.22,元/斤,跌
01,11,毛桃,4.22,元/斤,平
01,14,毛桃,4.09,元/斤,跌
01,15,毛桃,4.21,元/斤,涨
10,09,毛桃,2.38,元/斤,涨
10,10,毛桃,2.49,元/斤,涨
10,11,毛桃,2.44,元/斤,跌
10,12,毛桃,2.46,元/斤,涨
10,14,毛桃,2.41,元/斤,跌
10,15,毛桃,2.12,元/斤,跌
10,16,毛桃,2.17,元/斤,涨
10,17,毛桃,2.24,元/斤,涨
10,18,毛桃,2.2,元/斤,跌
10,21,毛桃,2.48,元/斤,涨
10,22,毛桃,2.81,元/斤,涨
10,23,毛桃,2.36,元/斤,跌
10,24,毛桃,2.16,元/斤,跌
10,25,毛桃,2.36,元/斤,涨
10,28,毛桃,2.27,元/斤,跌
10,29,毛桃,2.24,元/斤,跌
10,30,毛桃,2.33,元/斤,涨
10,31,毛桃,2.33,元/斤,平
11,01,毛桃,2.72,元/斤,涨
11,04,毛桃,3.56,元/斤,涨
11,05,毛桃,3.78,元/斤,涨
11,06,毛桃,3.35,元/斤,跌
11,07,毛桃,3.3,元/斤,跌
11,08,毛桃,2.6,元/斤,跌
11,11,毛桃,2.1,元/斤,跌
07,10,毛桃,5.15,元/斤,涨
07,11,毛桃,5.45,元/斤,涨
07,12,毛桃,1.57,元/斤,跌
